taxon,ED10_S_Wi2020,ED10_S_2020-02-10,ED10_S_2020-02-26,ED10_S_2020-03-09,ED10_S_2020-03-24,ED10_S_2020-04-20,ED10_S_2020-04-22,ED10_S_2020-05-11,ED10_S_2020-05-21,ED10_S_2020-06-03,ED10_S_2020-06-08,ED10_S_2020-06-19,ED10_S_2020-07-02,ED10_S_2020-07-21,ED10_S_2020-08-05,ED10_S_2020-08-20,ED10_S_2020-09-01,ED10_S_2020-09-16,ED10_S_2020-10-02,ED10_S_2020-10-16,ED10_S_2020-11-19,ED10_S_2020-11-25
Desulfobulbus,0.00374873964787701,0.00250078149421694,0.000951598252519573,0.00210248588036443,0.00168611763150064,0.00110819241503858,0.000317712470214456,0.00130202168457933,0.00255706789547985,0.00397891871138878,0.00525545997669749,0.00196826550387597,0.00257442256789586,0.00151289506654374,0.00141376060320452,0.00155793868074358,0.0011557995576844,0.00090765280983377,0.00520864515356523,0.00313819468218647,0.00567910017540201,0.0017961697263757
Malonomonas,0.00339541016382423,0.00149352228126845,0.000519053592283403,0.00560662901430515,0.00185142328164777,0.000738794943359054,0.000953137410643368,0.00149140665688178,0.00266361239112484,0.00394401591567485,0.00193361263293587,0.00349745639534884,0.00406106095217376,0.00364040375387088,0.00661275120853729,0.00470406727875002,0.00302286038163612,0.00516065454734058,0.0020355624738071,0.00248202670318384,0.00426852453788316,0.00296251370454174
P0X4b2H11,0,0,0,0,0,0,0,2.3673121537806e-05,2.66361239112484e-05,0,0,0,0,0,0,0,0,0,0,0,0,0
Sandaracinus,0,0,0,4.1225213340479e-05,3.30611300294244e-05,4.10441635199475e-05,0,4.73462430756119e-05,7.99083717337453e-05,0.000244319569997557,0.000123949527752299,0,7.25189455745314e-05,0.000567335649953904,0.000228025903742665,3.02512365192927e-05,0.000244496060279392,0.000311195249085864,0.000119738969047476,0.000114116170261326,7.35952506531578e-05,2.33268795633208e-05
GIF3,0,0,0,0,0,0,0,0,2.66361239112484e-05,0,0,0,0,0,0,0,2.22269145708538e-05,0,0,0,0,0
Hyphomicrobium,0.000137884676703522,0.000173665381542843,0.000173017864094468,0.000494702560085748,0.000132244520117698,4.10441635199475e-05,0.000317712470214456,0.000378769944604896,0.000159816743467491,6.98055914278734e-05,9.91596222018394e-05,0.00015140503875969,0.000108778418361797,0.000133954250683561,0.000364841445988264,3.02512365192927e-05,6.66807437125615e-05,0.000181530561966754,0.000658564329761121,0.000713226064133288,0.000122658751088596,0.000139961277379925
Pontibacter,0,0,0,0,0,0,0,0,0,0,0,1.5140503875969e-05,0,0,0,0,0,0,0,0,0,0
Rhodanobacteraceae,9.47957152336714e-05,0.000104199228925706,0,0.00041225213340479,0.000330611300294244,0.000205220817599737,0.000158856235107228,0.000213058093840254,5.32722478224969e-05,3.49027957139367e-05,2.47899055504599e-05,4.5421511627907e-05,0,7.87966180491533e-06,0,0.000105879327817525,2.22269145708538e-05,2.5932937423822e-05,0,0,1.22658751088596e-05,0.000163288156943246
Blastocatella,0.00268013340342471,0.0028828453336112,0.00246550456334617,0.00218493630704539,0.00188448441167719,0.00316040059103595,0.000953137410643368,0.00248567776146963,0.0017579841781424,0.000139611182855747,0,3.0281007751938e-05,0,3.15186472196613e-05,3.04034538323554e-05,0.0014671849711857,8.89076582834154e-05,0.000233396436814398,0,0.000228232340522652,0.0012756510113214,0.00275257178847186
Altererythrobacter,0.00760089280328166,0.00833593831405648,0.0102513084475972,0.00540050294760275,0.0130260852315932,0.00582827121983254,0.00826052422557585,0.0043558543629563,0.0042351437018885,0.00212907053855014,0.000669327449862416,0.000953851744186046,7.25189455745314e-05,0.00302579013308749,0.00202182967985163,0.00307050050670821,0.00390082350718485,0.00241176318041545,5.98694845237382e-05,0.00148351021339724,0.00264942902351368,0.00562177797476032
Sedimenticolaceae,0.00313687639500513,0.00211871765482269,0.00103810718456681,0.00181390938698108,0.000628161470559064,0.001559678213758,0.00127084988085782,0.0012073291984281,0.00122526169991743,0.000593347527136924,0.000371848583256898,0.000560198643410853,0.000688929982958048,0.00137894081586018,0.00171779514152808,0.00338813849016079,0.00560118247185517,0.00497912398537382,0.00035921690714243,0.00259614287344517,0.00502900879463245,0.00249597611327533
Flavimaricola,0.00433474952386698,0.00691188218540516,0.00839136640858169,0.00441109782743126,0.00390121334347208,0.00410441635199475,0.00667196187450357,0.00442687372756972,0.0033561516128173,0.000279222365711494,4.95798111009197e-05,9.0843023255814e-05,0.000108778418361797,0.00011819492707373,6.08069076647107e-05,0.00409904254836416,0.000222269145708538,0.000337128186509686,0.000239477938094953,0.00094145840465594,0.00242864327155421,0.00557512421563367
Lentimicrobium,0,0,0,0,3.30611300294244e-05,0,0,0,0.000372905734757478,0.00020941677428362,0.000322268772155978,0.000136264534883721,0.000471373146234454,0.000141833912488476,0.000152017269161777,7.56280912982318e-05,3.33403718562808e-05,0,0.000778303298808597,2.85290425653315e-05,1.22658751088596e-05,0
Arcobacteraceae,0.000112031299821612,0.000138932305234275,0.000129763398070851,0.00169023374695964,0.000628161470559064,0.00127236906911837,0.00174741858617951,0.00023673121537806,0.00141171456729617,0.00191965376426652,0.000148739433302759,0.000393653100775194,7.25189455745314e-05,0.00151289506654374,6.08069076647107e-05,1.51256182596464e-05,0.000222269145708538,0.00140037862088639,0.00113752020595103,0.0015405682985279,7.35952506531578e-05,0.00230936107676876
Exiguobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57593236098307e-05,0,0,1.11134572854269e-05,2.5932937423822e-05,0,5.7058085130663e-05,0,0
Maritimimonas,0.0178474478408121,0.0146920912785245,0.00847787534062892,0.0156243558560416,0.0136873078321817,0.0064028895091118,0.00778395552025417,0.00880640121206382,0.0109474469275231,0.00101218107570416,0.000396638488807358,0.00136264534883721,0.0012690815475543,0.000772206856881703,0.00104891915721626,0.00993753119658766,0.0008668496682633,0.000674256373019372,0,0.00330936893757846,0.0165834631471782,0.0143693578110056
Thermodesulfovibrionia,0.00448986978515844,0.00135458997603418,0.000908343786495956,0.000329801706723832,0.000363672430323668,0.000533574125759317,0.000317712470214456,0.00023673121537806,0.000719175345603708,0,0,1.5140503875969e-05,3.62594727872657e-05,3.15186472196613e-05,3.04034538323554e-05,0.00449230862311497,5.55672864271346e-05,7.7798812271466e-05,0,0.000542051808741299,0.00311553227765035,0.00317245562061163
Symphothece PCC-7002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5932937423822e-05,0,0,0,0
Desulfonema,0,0,0,8.24504266809581e-05,3.30611300294244e-05,0,0,0.000142038729226836,0.000159816743467491,0.00471187742138145,0.00627184610426634,0.00143834786821705,0.00083396787410711,0.00082736448951611,0.000638472530479463,3.02512365192927e-05,0.000311176803991954,0.00121884805891963,0.00035921690714243,0,6.13293755442982e-05,6.99806386899624e-05
Aliikangiella,6.8942338351761e-05,0,8.65089320472339e-05,0.000535927773426228,0.000760405990676761,0.000574618289279264,0.000476568705321684,0.000520808673831731,5.32722478224969e-05,0.000139611182855747,7.43697166513796e-05,0,0,5.51576326344073e-05,3.04034538323554e-05,7.56280912982318e-05,3.33403718562808e-05,0.000155597624542932,0,2.85290425653315e-05,9.81270008708771e-05,9.33075182532833e-05
Cloacimonadales,3.44711691758805e-05,0,0,0,0,0,0,0.000165711850764642,0,0.000383930752853304,0.000123949527752299,0.000863008720930233,0.000942746292468908,0.00171776627347154,0.00661275120853729,3.02512365192927e-05,0.00225603182894167,0.00038899406135733,5.98694845237382e-05,0,4.90635004354386e-05,0
Bacteroidetes vadinHA17,0.000422271822404536,6.94661526171373e-05,0,0.00086572948015006,0.000925711640823883,8.20883270398949e-05,0,0.000260404336915866,0.00125189782382868,0.00174513978569683,0.00535461959889933,0.00278585271317829,0.00384350411545016,0.00188323917137476,0.00310115229090025,6.05024730385855e-05,0.000922416954690435,2.5932937423822e-05,0.0076632940190385,0.00385142074631975,0.000147190501306316,6.99806386899624e-05
C1-B045,0.000155120261291462,3.47330763085687e-05,0,0.00041225213340479,0.00052897808047079,0.000246264981119685,0.000158856235107228,0.000284077458453672,0.000372905734757478,0.00205926494712226,0.00200798234958725,0.00101441375968992,0.00101526523804344,0.000543696664539158,0.000380043172904442,0.000121004946077171,0.000222269145708538,2.5932937423822e-05,0.00035921690714243,0.000285290425653315,0.000122658751088596,9.33075182532833e-05
JS1,2.58533768819104e-05,0,0,8.24504266809581e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00259614287344517,1.22658751088596e-05,0
Trichloromonas,0.00294728496453778,0.00218818380743982,0.000432544660236169,0.00325679185389784,0.00300856283267762,0.000779839106879002,0.000158856235107228,0.00134936792765494,0.00135844231947367,0.000593347527136924,0.000966806316467934,0.00109011627906977,0.0010515247108307,0.000512178017319497,0.000744884618892706,0.00170919486334004,0.000222269145708538,7.7798812271466e-05,0.000179608453571215,0.000427935638479973,0.00266169489862254,0.00244932235414869
Desulfuromonas,0.00133575780556537,0.00145878920495988,0.000605562524330637,0.00655480892113617,0.00340529639303071,0.00127236906911837,0.000317712470214456,0.00134936792765494,0.00370242122366353,0.00129140344141566,0.00151218423857805,0.00333091085271318,0.00366220675151383,0.00276576129352528,0.00465172843635037,0.00178482295463827,0.00240050677365222,0.00264515961722984,0.000838172783332336,0.00136939404313591,0.00220785751959474,0.00370897385056801
Amoebophilaceae,3.44711691758805e-05,3.47330763085687e-05,0.000173017864094468,4.1225213340479e-05,9.91833900882732e-05,0.000246264981119685,0.000476568705321684,0.000165711850764642,0,0.00010470838714181,0.000297478866605518,3.0281007751938e-05,0,0.00104011535824882,0.00114012951871333,7.56280912982318e-05,0.00116691301496983,0.00228209849329634,0,0.000142645212826658,6.13293755442982e-05,9.33075182532833e-05
Paludibacter,6.03245460577909e-05,0.000138932305234275,0,0.000577152986766706,0.000462855820411942,8.20883270398949e-05,0.000635424940428912,4.73462430756119e-05,0.00050608635431372,0.000244319569997557,0.000966806316467934,0.000181686046511628,0.000543892091808985,0.000157593236098307,0.000380043172904442,4.53768547789391e-05,8.89076582834154e-05,0,0.00215530144285458,0.00105557457491727,2.45317502177193e-05,0.000186615036506567
Gemmobacter,0.00311102301812322,0.00336910840193116,0.00211946883515723,0.00606010636105042,0.00922405527820941,0.00258578230175669,0.00444797458300238,0.00736234079825766,0.00356924060410729,0.00261770967854525,0.00183445301073403,0.00101441375968992,0.000652670510170782,0.000299427148586783,0.000228025903742665,0.00107391889643489,0.000122248030139696,7.7798812271466e-05,0.00131712865952224,0.00359465936323177,0.00106713113447079,0.00305582122279503
Psychromonas,2.58533768819104e-05,6.94661526171373e-05,0,0,0,4.10441635199475e-05,0.000158856235107228,2.3673121537806e-05,0.000133180619556242,6.98055914278734e-05,0,1.5140503875969e-05,0,7.87966180491533e-06,0,0,4.44538291417077e-05,0.00012966468711911,0,0,2.45317502177193e-05,2.33268795633208e-05
