taxon,EO10_S_2019-08-21,EO10_S_2019-09-13,EO10_S_2019-09-30,EO10_S_2019-10-11,EO10_S_2019-10-28,EO10_S_2019-11-11,EO10_S_2019-11-25,EO10_S_2019-12-13,EO10_S_2020-01-02,EO10_S_2020-01-16,EO10_S_2020-01-21,EO10_S_2020-02-10,EO10_S_2020-02-21,EO10_S_2020-03-06,EO10_S_2020-03-18,EO10_S_2020-03-20,EO10_S_2020-04-14,EO10_S_2020-04-28,EO10_S_2020-04-29,EO10_S_2020-05-12,EO10_S_2020-05-21,EO10_S_2020-05-28,EO10_S_2020-06-10,EO10_S_2020-06-23,EO10_S_2020-07-09,EO10_S_2020-07-21,EO10_S_2020-08-05,EO10_S_2020-08-19,EO10_S_2020-09-02,EO10_S_2020-09-17,EO10_S_2020-10-02
Saccharospirillaceae,0.00107667142886722,1.19570026185836e-05,0,1.60028164957032e-05,4.17193953468968e-05,0,0.00064555119083592,0,0,0,3.36111858026351e-05,0,0,0,0,0,0,0,0,0,0,4.25151991837082e-05,0,0,0,0,0,0,9.54653937947494e-05,0,0
Clostridia vadinBB60 group,1.0352609892954e-05,1.19570026185836e-05,0,8.00140824785162e-05,0.000278129302312645,0,1.37351317199132e-05,2.36826524570752e-05,0,0,0,0,0,0,1.82237327671827e-05,0,0,0,0,0,0,1.41717330612361e-05,0,8.49083838538217e-05,0,0,1.87125748502994e-05,0,0,0,0
Caldora VP642b,0,0,0,0,1.39064651156323e-05,0,0,0,0,0,0,0,0,0,0,0,3.83298410589257e-05,0,1.63225332571615e-05,0,3.29098927137498e-05,0,0,1.69816767707643e-05,0,0,0,0,2.38663484486874e-05,3.92464678178964e-05,0
Draconibacterium,0.00269167857216804,0.00186529240849904,0.00320048468245397,0.00504088719614652,0.0064247868834221,0.000409476455103832,0.00256846963162377,0.000769686204854944,0.00023728780044096,0.00103554249064671,0.00171417047593439,0.000789736647003836,0.000784929356357928,0.000102320980917137,0.000191349194055418,0.00172499585337535,0.0010476823222773,0.000871203458677731,0.000571288664000653,0.000530791432141633,0.000910507031747077,0.000779445318367983,0.0032967177877705,0.00610491279908978,0.00351770341694508,0.00304825245072569,0.00520209580838323,0.00198128448197031,0.000978520286396181,0.00262951334379906,0.00159320233669676
Alphaproteobacteria,0.00402716524835911,0.00612198534071479,0.00449121513052182,0.00536094352606059,0.00246144432546691,0.00470897923369406,0.00512320413152762,0.00614564831261101,0.00742513075546503,0.00674772848743987,0.00675584834632966,0.0084936982238984,0.00852209015474322,0.00872286362318593,0.00710725577920125,0.00635815779288992,0.00628609393366382,0.00885360514881244,0.00543540357463478,0.00894604726255377,0.00551789201167204,0.0064056233436787,0.00568354146611633,0.00343878954607978,0.00592176203355076,0.00334268592607988,0.00376122754491018,0.0036272746669918,0.00620525059665871,0.00412087912087912,0.00849707912904939
Lutimonas,0.00246392115452306,0.00468714502648476,0.00187024207781261,0.00235241402486838,0.0145878819062982,0.000497221409768938,0.00100266461555366,0.000355239786856128,0.00037570568403152,0.000935328701229289,0.00494084431298736,0.00251426361086936,0.000672796591163938,4.26337420488071e-05,0.000127566129370279,0.000387018300436778,0.00109878877702254,0.000152460605268603,0.0019097363910879,0.000475500657960213,0.000362008819851247,0.000793617051429219,0.00282199042633154,0.00673323483960806,0.00341164200738894,0.00561155564792684,0.00441616766467066,0.00210320968086079,0.00121718377088305,0.00306122448979592,0.00364160534102117
[Desulfobacterium] catecholicum group,0.000165641758287264,0.000346753075938924,0.000223902220583199,0.000512090127862504,0.000764855581359774,0.00310032173150044,0.00160701041122984,0.000473653049141504,5.932195011024e-05,0.000133618385889898,0.000235278300618446,8.05853721432486e-05,0.00011213276519399,0,3.64474655343654e-05,0.000121634322994416,0.000191649205294629,7.62303026343015e-05,0.000114257732800131,0.000121639703199124,3.29098927137498e-05,0.000113373864489888,0.000171429324964066,0.000560395333435223,0.000441922539817221,0.000398351172538017,0.000187125748502994,0.000213369098058341,0.000286396181384248,0.00043171114599686,0.00121386844700706
Chryseolinea,0,1.19570026185836e-05,2.63414377156705e-05,0,0,0.000467973091547236,0.000206026975798698,2.36826524570752e-05,9.88699168503999e-06,0,3.36111858026351e-05,0,0,2.55802452292843e-05,5.46711983015481e-05,1.10576657267651e-05,2.55532273726172e-05,0,8.16126662858076e-05,2.2116309672568e-05,0,0,0,8.49083838538217e-06,1.76769015926888e-05,0,0,0,0,0,0
Oligoflexaceae,0.000383046566039299,0.000723398658424306,0.000184390064009694,6.4011265982813e-05,6.95323255781613e-05,0,1.37351317199132e-05,8.28892835997632e-05,0,0,0,0,0.00011213276519399,1.70534968195228e-05,0,0,0,0,4.89675997714845e-05,4.42326193451361e-05,0.000164549463568749,7.08586653061803e-05,0,2.54725151561465e-05,0.000282830425483021,0.000432990404932627,9.3562874251497e-05,0.00149358368640839,0.00517899761336515,0.000627943485086342,7.5866777937941e-05
Erysipelothrix,0,5.97850130929179e-06,0,0,2.78129302312645e-05,0.000555718046212343,0.000219762107518611,0.000118413262285376,1.977398337008e-05,0,0,9.67024465718983e-05,0,8.52674840976142e-05,3.64474655343654e-05,0.000132691988721181,0,4.35601729338865e-05,4.89675997714845e-05,6.63489290177041e-05,0.000109699642379166,2.83434661224721e-05,1.3186871151082e-05,0,0,0,0,0,0,0,0.000151733555875882
Chryseobacterium,0,5.97850130929179e-06,0,0,0,2.92483182217023e-05,0.000466994478477049,5.9206631142688e-05,0,0,0.000235278300618446,6.44682977145988e-05,0,5.11604904585685e-05,0,0.000187980317355006,0,1.08900432334716e-05,0,0,0,0,0,0,0,0,0,0,0,0,0
Bermanella,0,4.18495091650425e-05,0,0,2.78129302312645e-05,0,0.000151086448919045,0,0,0,0,1.61170744286497e-05,0,0,0,0.000221153314535302,1.27766136863086e-05,0,0,0,0,7.08586653061803e-05,3.95606134532459e-05,4.24541919269109e-05,1.76769015926888e-05,0,0,0.000182887798335721,0.000405727923627685,7.84929356357928e-05,0.000606934223503528
Crocinitomicaceae,0.000983497939830631,0.000914710700321643,0.000460975160024234,0.000784138008289459,0.00194690511618852,0.000321731500438725,0.00131857264511167,0.000556542332741267,0.00023728780044096,0.000801710315339391,0.00141166980371067,0.00106372691229088,0.000672796591163938,0.000144954722965944,9.11186638359135e-05,0.00067451760933267,0.00117544845914039,0.000228690907902904,0.00109360972822982,0.000364919109597373,0.00041685864104083,0.000566869322449442,0.00126593963050387,0.00215667294988707,0.00146718283219317,0.00131629083099519,0.00142215568862275,0.000426738196116682,0.000405727923627685,0.000627943485086342,0.00121386844700706
