taxon,EU08_S_2019-09-13,EU08_S_2019-09-30,EU08_S_2019-10-11,EU08_S_2019-10-17,EU08_S_2019-10-28,EU08_S_2019-11-12,EU08_S_2019-11-26,EU08_S_2019-12-13,EU08_S_2020-01-02,EU08_S_Wi2020,EU08_S_2020-01-27,EU08_S_2020-02-07,EU08_S_2020-02-21,EU08_S_2020-03-06,EU08_S_2020-03-18,EU08_S_2020-04-14,EU08_S_2020-04-28,EU08_S_2020-05-12,EU08_S_2020-05-21,EU08_S_2020-05-28,EU08_S_2020-06-10,EU08_S_2020-06-23,EU08_S_2020-07-09,EU08_S_2020-07-21,EU08_S_2020-08-05,EU08_S_2020-08-20,EU08_S_2020-09-02,EU08_S_2020-09-17,EU08_S_2020-10-02,EU08_S_2020-10-29,EU08_S_2020-11-19
Limibaculum,5.94230026443236e-05,8.02825947334618e-05,0.00026565716942286,6.89829612085815e-05,0.000109182225133748,6.22858922454064e-05,0,3.21595111754301e-05,7.46268656716418e-05,0.000173832425541778,8.05775800941146e-05,0.000162993871430434,0.00010306622004638,0.000257014349967873,5.53112641389419e-05,0.000120107066871039,6.54685914432551e-05,0.000203252032520325,7.01770801656179e-05,9.39143501126972e-05,0.000141218005295675,4.88042947779405e-05,3.72079178449174e-05,6.15271026887344e-05,0,3.31180659049512e-05,0.000102595670462706,0,0.000176056338028169,0.000217438573602957,3.27289389278e-05
Schleiferia,2.97115013221618e-05,8.02825947334618e-05,3.32071461778575e-05,4.5988640805721e-05,0,0.000155714730613516,0,3.21595111754301e-05,0,5.79441418472592e-05,1.61155160188229e-05,0,5.15331100231899e-05,0,2.76556320694709e-05,1.71581524101485e-05,0,0,9.35694402208239e-05,0,3.53045013239188e-05,0,3.72079178449174e-05,0,0,0,0,4.25079702444208e-05,0,0,3.27289389278e-05
BD2-11 terrestrial group,0.000178269007932971,0.000160565189466924,0.00039848575413429,0.000160960242820023,0.000181970375222914,0.000467144191840548,0.000219715834187784,0.000192957067052581,0.00041044776119403,0.000173832425541778,0.000161155160188229,0.000130395097144347,0.000180365885081165,0.000299850074962519,0,0.000108668298597607,0.00013093718288651,0.00013550135501355,4.67847201104119e-05,0.000234785875281743,0.000176522506619594,9.76085895558809e-05,0.00014883167137967,0.000123054205377469,0.000283276087957225,0.000165590329524756,0.000376184125029924,0.000382571732199787,0.000176056338028169,0.000217438573602957,0.000327289389278
Thermoanaerobaculales,0,0,0,4.5988640805721e-05,0,0,0,0,0,0,0,0,0,0,0,0,3.27342957216275e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algicola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.71938413671616e-06,0,0,7.01770801656179e-05,0,0,0,0,0,0,0,0,0,0,0,0
Micavibrionaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geminobacterium,0,0,0,6.89829612085815e-05,0,3.11429461227032e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ga0077536,0.00065365302908756,0.000481695568400771,0.000697350069735007,0.000367909126445768,0.000254758525312079,0.000529430084085955,0.000512670279771496,0.000643190223508603,0.000932835820895522,0.000695329702167111,0.000515696512602334,0.000293388968574782,0.000515331100231899,0.000642535874919683,2.76556320694709e-05,0.000303127359245956,0.000327342957216275,0.000643631436314363,0.000140354160331236,0.000375657400450789,0.000494263018534863,0.000585651537335285,0.000744158356898348,0.000615271026887344,0.000460323642930491,0.000695479384003974,0.000752368250059848,0.000722635494155154,0.000352112676056338,0.000652315720808871,0.0002945604503502
Reinekea,0.000118846005288647,0.000481695568400771,0.00013282858471143,0.000114971602014302,0.000291152600356662,9.34288383681096e-05,0,0.000192957067052581,0.000261194029850746,0.000231776567389037,0.00104750854122349,0.000293388968574782,0.000334965215150734,8.56714499892911e-05,0.00107856965070937,0.00138981034522203,0.000163671478608138,0.0285569105691057,9.35694402208239e-05,0.000234785875281743,0.0155339805825243,0.00146412884333821,0.000372079178449174,0.0017842859779733,0.000495733153925144,6.62361318099023e-05,0.000341985568209022,0.000127523910733262,0.000352112676056338,0,0.000818223473194999
Sphaerotilus,0,0,0,0,0,3.11429461227032e-05,7.32386113959279e-05,0,3.73134328358209e-05,0,0,0,0,0,5.53112641389419e-05,1.14387682734323e-05,0,3.38753387533875e-05,0,0,0,0,0,0,0,0,0,0,0.00105633802816901,0,0
Rubrobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GoM-GC232-4463-Bac1,2.97115013221618e-05,0,0,0,0,0,0,0,7.46268656716418e-05,0.000202804496465407,9.66930961129375e-05,9.77963228582605e-05,2.5766555011595e-05,0,0.000165933792416826,0.000257372286152227,0.00013093718288651,0,0.00011696180027603,4.69571750563486e-05,7.06090026478376e-05,0,0,6.15271026887344e-05,0,3.31180659049512e-05,0,0,0,4.34877147205914e-05,6.54578778555999e-05
Eubacteriaceae,0,0,0,2.29943204028605e-05,0,3.11429461227032e-05,0,6.43190223508603e-05,0,0,3.22310320376458e-05,0,2.5766555011595e-05,0,2.76556320694709e-05,0,0,0,2.3392360055206e-05,0,0,0,0,0,0,6.62361318099023e-05,0,0,0,0,3.27289389278e-05
Candidatus Omnitrophus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nanoarchaeota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
